"Time (s) Monitor Run","Position (cm) Monitor Run","Velocity (m/s) Monitor Run","Acceleration (m/s²) Monitor Run"
9.525,-0.0176833,0.00,0.03
9.550,-0.0176833,-3.22E-5,0.03
9.575,-0.0176833,0.00,0.03
9.600,-0.0181663,0.00,0.02
9.625,-4.8332967E-4,0.00,-0.01
9.650,-4.8332967E-4,0.00,-0.04
9.675,-4.8332967E-4,3.22E-5,-0.05
9.700,-4.8332967E-4,0.00,-0.04
9.725,0.0000000,0.00,-0.02
9.750,-0.0176833,0.00,0.01
9.775,-0.0176833,0.00,0.03
9.800,-0.0176833,0.00,0.02
9.825,-0.0176833,0.00,0.02
9.850,-0.0176833,-3.22E-5,0.02
9.875,-0.0176833,0.00,0.03
9.900,-0.0181663,0.00,0.02
9.925,-4.8332967E-4,0.00,-0.02
9.950,-4.8332967E-4,0.00,-0.05
9.975,-4.8332967E-4,0.00,-0.05
10.000,0.0000000,0.00,-0.02
10.025,-0.0176833,0.00,0.01
10.050,-0.0176833,0.00,0.03
10.075,-0.0176833,0.00,0.02
10.100,-0.0176833,0.00,0.02
10.125,-0.0176833,-3.22E-5,0.02
10.150,-0.0176833,0.00,0.03
10.175,-0.0181663,0.00,0.02
10.200,-4.8332967E-4,0.00,-0.01
10.225,-4.8332967E-4,0.00,-0.04
10.250,-4.8332967E-4,3.22E-5,-0.05
10.275,-4.8332967E-4,0.00,-0.04
10.300,0.0000000,0.00,-0.02
10.325,-0.0176833,0.00,0.01
10.350,-0.0176833,0.00,0.03
10.375,-0.0176833,0.00,0.03
10.400,-0.0176833,-3.22E-5,0.03
10.425,-0.0176833,0.00,0.03
10.450,-0.0181663,0.00,0.02
10.475,-4.8332967E-4,0.00,-0.01
10.500,-4.8332967E-4,0.00,-0.04
10.525,-4.8332967E-4,3.22E-5,-0.05
10.550,-4.8332967E-4,0.00,-0.04
10.575,0.0000000,0.00,-0.02
10.600,-0.0176833,0.00,0.01
10.625,-0.0176833,0.00,0.03
10.650,-0.0176833,0.00,0.03
10.675,-0.0176833,-3.22E-5,0.03
10.700,-0.0176833,0.00,0.03
10.725,-0.0181663,0.00,0.02
10.750,-4.8332967E-4,0.00,-0.01
10.775,-4.8332967E-4,0.00,-0.04
10.800,-4.8332967E-4,3.22E-5,-0.05
10.825,-4.8332967E-4,0.00,-0.04
10.850,0.0000000,0.00,-0.02
10.875,-0.0176833,0.00,0.01
10.900,-0.0176833,0.00,0.03
10.925,-0.0176833,0.00,0.03
10.950,-0.0176833,-3.22E-5,0.03
10.975,-0.0176833,0.00,0.03
11.000,-0.0181663,0.00,0.02
11.025,-4.8332967E-4,0.00,-0.01
11.050,-4.8332967E-4,0.00,-0.04
11.075,-4.8332967E-4,3.22E-5,-0.05
11.100,-4.8332967E-4,0.00,-0.04
11.125,0.0000000,0.00,-0.02
11.150,-0.0176833,0.00,0.01
11.175,-0.0176833,0.00,0.03
11.200,-0.0176833,0.00,0.03
11.225,-0.0176833,-3.22E-5,0.03
11.250,-0.0176833,0.00,0.03
11.275,-0.0181663,0.00,0.02
11.300,-4.8332967E-4,0.00,-0.01
11.325,-4.8332967E-4,0.00,-0.04
11.350,-4.8332967E-4,3.22E-5,-0.05
11.375,-4.8332967E-4,0.00,-0.04
11.400,0.0000000,0.00,-0.02
11.425,-0.0176833,0.00,0.01
11.450,-0.0176833,0.00,0.03
11.475,-0.0176833,0.00,0.03
11.500,-0.0176833,-3.22E-5,0.03
11.525,-0.0176833,0.00,0.03
11.550,-0.0181663,0.00,0.02
11.575,-4.8332967E-4,0.00,-0.01
11.600,-4.8332967E-4,0.00,-0.04
11.625,-4.8332967E-4,3.22E-5,-0.05
11.650,-4.8332967E-4,0.00,-0.04
11.675,0.0000000,0.00,-0.02
11.700,-0.0176833,0.00,0.01
11.725,-0.0176833,0.00,0.03
11.750,-0.0176833,0.00,0.02
11.775,-0.0176833,0.00,0.02
11.800,-0.0176833,-3.22E-5,0.02
11.825,-0.0176833,0.00,0.03
11.850,-0.0181663,0.00,0.02
11.875,-4.8332967E-4,0.00,-0.02
11.900,-4.8332967E-4,0.00,-0.05
11.925,-4.8332967E-4,0.00,-0.05
11.950,0.0000000,0.00,-0.02
11.975,-0.0176833,0.00,0.01
12.000,-0.0176833,0.00,0.03
12.025,-0.0176833,0.00,0.02
12.050,-0.0176833,0.00,0.02
12.075,-0.0176833,-3.22E-5,0.02
12.100,-0.0176833,0.00,0.03
12.125,-0.0181663,0.00,0.02
12.150,-4.8332967E-4,0.00,-0.02
12.175,-4.8332967E-4,0.00,-0.05
12.200,-4.8332967E-4,0.00,-0.05
12.225,0.0000000,0.00,-0.02
12.250,-0.0176833,0.00,0.01
12.275,-0.0176833,0.00,0.03
12.300,-0.0176833,0.00,0.03
12.325,-0.0176833,-3.22E-5,0.03
12.350,-0.0176833,0.00,0.03
12.375,-0.0181663,0.00,0.02
12.400,-4.8332967E-4,0.00,-0.01
12.425,-4.8332967E-4,0.00,-0.03
12.450,-4.8332967E-4,0.00,-0.03
12.475,-4.8332967E-4,3.22E-5,-0.03
12.500,-4.8332967E-4,0.00,-0.03
12.525,0.0000000,0.00,-0.02
12.550,-0.0176833,0.00,0.01
12.575,-0.0176833,0.00,0.04
12.600,-0.0176833,-3.22E-5,0.05
12.625,-0.0176833,0.00,0.04
12.650,-0.0181663,0.00,0.02
12.675,-4.8332967E-4,0.00,-0.01
12.700,-4.8332967E-4,0.00,-0.03
12.725,-4.8332967E-4,0.00,-0.03
12.750,-4.8332967E-4,3.22E-5,-0.03
12.775,-4.8332967E-4,0.00,-0.03
12.800,0.0000000,0.00,-0.02
12.825,-0.0176833,0.00,0.01
12.850,-0.0176833,0.00,0.03
12.875,-0.0176833,0.00,0.03
12.900,-0.0176833,-3.22E-5,0.03
12.925,-0.0176833,0.00,0.03
12.950,-0.0181663,0.00,0.02
12.975,-4.8332967E-4,0.00,-0.01
13.000,-4.8332967E-4,0.00,-0.04
13.025,-4.8332967E-4,3.22E-5,-0.05
13.050,-4.8332967E-4,0.00,-0.04
13.075,0.0000000,0.00,-0.02
13.100,-0.0176833,0.00,0.01
13.125,-0.0176833,0.00,0.03
13.150,-0.0176833,0.00,0.03
13.175,-0.0176833,-3.22E-5,0.03
13.200,-0.0176833,0.00,0.03
13.225,-0.0181663,0.00,0.02
13.250,-4.8332967E-4,0.00,-0.01
13.275,-4.8332967E-4,0.00,-0.04
13.300,-4.8332967E-4,3.22E-5,-0.05
13.325,-4.8332967E-4,0.00,-0.04
13.350,0.0000000,0.00,-0.02
13.375,-0.0176833,0.00,0.01
13.400,-0.0176833,0.00,0.03
13.425,-0.0176833,0.00,0.03
13.450,-0.0176833,-3.22E-5,0.03
13.475,-0.0176833,0.00,0.03
13.500,-0.0181663,0.00,0.02
13.525,-4.8332967E-4,0.00,-0.01
13.550,-4.8332967E-4,0.00,-0.04
13.575,-4.8332967E-4,3.22E-5,-0.05
13.600,-4.8332967E-4,0.00,-0.04
13.625,0.0000000,0.00,-0.02
13.650,-0.0176833,0.00,0.01
13.675,-0.0176833,0.00,0.03
13.700,-0.0176833,0.00,0.03
13.725,-0.0176833,-3.22E-5,0.03
13.750,-0.0176833,0.00,0.03
13.775,-0.0181663,0.00,0.02
13.800,-4.8332967E-4,0.00,-0.01
13.825,-4.8332967E-4,0.00,-0.04
13.850,-4.8332967E-4,3.22E-5,-0.05
13.875,-4.8332967E-4,0.00,-0.04
13.900,0.0000000,0.00,-0.02
13.925,-0.0176833,0.00,0.01
13.950,-0.0176833,0.00,0.03
13.975,-0.0176833,0.00,0.03
14.000,-0.0176833,-3.22E-5,0.03
14.025,-0.0176833,0.00,0.03
14.050,-0.0181663,0.00,0.02
14.075,-4.8332967E-4,0.00,-0.01
14.100,-4.8332967E-4,0.00,-0.04
14.125,-4.8332967E-4,3.22E-5,-0.05
14.150,-4.8332967E-4,0.00,-0.04
14.175,0.0000000,0.00,-0.02
14.200,-0.0176833,0.00,0.01
14.225,-0.0176833,0.00,0.03
14.250,-0.0176833,0.00,0.03
14.275,-0.0176833,-3.22E-5,0.03
14.300,-0.0176833,0.00,0.03
14.325,-0.0181663,0.00,0.02
14.350,-4.8332967E-4,0.00,-0.01
14.375,-4.8332967E-4,0.00,-0.04
14.400,-4.8332967E-4,3.22E-5,-0.05
14.425,-4.8332967E-4,0.00,-0.04
14.450,0.0000000,0.00,-0.02
14.475,-0.0176833,0.00,0.01
14.500,-0.0176833,0.00,0.03
14.525,-0.0176833,0.00,0.02
14.550,-0.0176833,0.00,0.02
14.575,-0.0176833,-3.22E-5,0.02
14.600,-0.0176833,0.00,0.03
14.625,-0.0181663,0.00,0.02
14.650,-4.8332967E-4,0.00,-0.01
14.675,-4.8332967E-4,0.00,-0.04
14.700,-4.8332967E-4,3.22E-5,-0.05
14.725,-4.8332967E-4,0.00,-0.04
14.750,0.0000000,0.00,-0.02
14.775,-0.0176833,0.00,0.01
14.800,-0.0176833,0.00,0.03
14.825,-0.0176833,0.00,0.03
14.850,-0.0176833,-3.22E-5,0.03
14.875,-0.0176833,0.00,0.03
14.900,-0.0181663,0.00,0.02
14.925,-4.8332967E-4,0.00,-0.01
14.950,-4.8332967E-4,0.00,-0.04
14.975,-4.8332967E-4,3.22E-5,-0.05
15.000,-4.8332967E-4,0.00,-0.04
15.025,0.0000000,0.00,-0.02
15.050,-0.0176833,0.00,0.01
15.075,-0.0176833,0.00,0.03
15.100,-0.0176833,0.00,0.03
15.125,-0.0176833,-3.22E-5,0.03
15.150,-0.0176833,0.00,0.03
15.175,-0.0181663,0.00,0.02
15.200,-4.8332967E-4,0.00,-0.01
15.225,-4.8332967E-4,0.00,-0.04
15.250,-4.8332967E-4,3.22E-5,-0.05
15.275,-4.8332967E-4,0.00,-0.04
15.300,0.0000000,0.00,-0.02
15.325,-0.0176833,0.00,0.01
15.350,-0.0176833,0.00,0.03
15.375,-0.0176833,0.00,0.03
15.400,-0.0176833,-3.22E-5,0.03
15.425,-0.0176833,0.00,0.03
15.450,-0.0181663,0.00,0.02
15.475,-4.8332967E-4,0.00,-0.01
15.500,-4.8332967E-4,0.00,-0.04
15.525,-4.8332967E-4,3.22E-5,-0.05
15.550,-4.8332967E-4,0.00,-0.05
15.575,0.0000000,0.00,
15.600,-0.0176833,0.00,
15.625,-0.0176833,,
