"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
9.725,-1.52666E-4,-0.03,0.04
9.750,-8.45541E-4,-0.02,0.25
9.775,-0.00137,-0.01,0.42
9.800,-0.00173,-3.85E-4,0.50
9.825,-0.00139,0.01,0.45
9.850,-8.79276E-4,0.02,0.29
9.875,-1.96164E-4,0.03,0.07
9.900,6.68600E-4,0.03,-0.18
9.925,0.00137,0.02,-0.39
9.950,0.00172,0.01,-0.50
9.975,0.00173,-0.01,-0.48
10.000,0.00122,-0.02,-0.35
10.025,7.12254E-4,-0.03,-0.16
10.050,-1.52666E-4,-0.03,0.06
10.075,-8.45541E-4,-0.02,0.27
10.100,-0.00137,-0.01,0.42
10.125,-0.00155,-3.53E-4,0.47
10.150,-0.00139,0.01,0.41
10.175,-8.79276E-4,0.02,0.27
10.200,-1.91331E-4,0.03,0.07
10.225,4.96614E-4,0.03,-0.15
10.250,0.00119,0.02,-0.33
10.275,0.00155,0.01,-0.43
10.300,0.00156,-0.01,-0.41
10.325,0.00122,-0.01,-0.30
10.350,7.02552E-4,-0.02,-0.16
10.375,1.91362E-4,-0.02,-0.02
10.400,-5.01520E-4,-0.02,0.14
10.425,-0.00102,-0.02,0.30
10.450,-0.00138,-0.01,0.40
10.475,-0.00139,0.01,0.41
10.500,-0.00105,0.02,0.33
10.525,-5.35304E-4,0.02,0.17
10.550,1.52641E-4,0.03,-0.02
10.575,8.45439E-4,0.02,-0.23
10.600,0.00137,0.01,-0.37
10.625,0.00155,0.00,-0.41
10.650,0.00139,-0.01,-0.36
10.675,0.00105,-0.02,-0.27
10.700,5.35389E-4,-0.02,-0.14
10.725,-1.52666E-4,-0.03,0.04
10.750,-8.45541E-4,-0.02,0.26
10.775,-0.00137,-0.01,0.43
10.800,-0.00156,0.00,0.48
10.825,-0.00122,0.01,0.39
10.850,-7.07290E-4,0.02,0.21
10.875,-1.93450E-5,0.03,0.01
10.900,6.73450E-4,0.02,-0.17
10.925,0.00119,0.02,-0.32
10.950,0.00155,0.01,-0.41
10.975,0.00156,-0.01,-0.41
11.000,0.00122,-0.02,-0.33
11.025,7.07403E-4,-0.02,-0.18
11.050,1.93481E-5,-0.03,0.00
11.075,-6.73530E-4,-0.02,0.20
11.100,-0.00119,-0.02,0.37
11.125,-0.00155,0.00,0.46
11.150,-0.00139,0.01,0.42
11.175,-8.74457E-4,0.02,0.29
11.200,-3.68146E-4,0.03,0.10
11.225,5.01460E-4,0.03,-0.11
11.250,0.00102,0.02,-0.29
11.275,0.00155,0.01,-0.40
11.300,0.00155,0.00,-0.43
11.325,0.00139,-0.01,-0.36
11.350,8.79417E-4,-0.02,-0.22
11.375,1.91362E-4,-0.03,-0.03
11.400,-5.01520E-4,-0.02,0.16
11.425,-0.00102,-0.02,0.32
11.450,-0.00138,-0.01,0.41
11.475,-0.00139,0.01,0.41
11.500,-0.00105,0.02,0.33
11.525,-5.35304E-4,0.02,0.17
11.550,1.52641E-4,0.03,-0.02
